,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,name,zone,hardiness_zone
5101,,P,P,,,,,,,,P,,Rocket,15,10a
5102,S,,,,,,,,,,,,Rocket,100,10b
5103,,T,,,,,,,,,,,Rocket,100,10b
5104,,P,P,,,,,,,,P,,Rocket,100,10b
5145,,,,S,,,,,,,,,Rockmelon,111,4a
5146,,,,,,T,,,,,,,Rockmelon,111,4a
5147,,,,,,P,,,,,,,Rockmelon,111,4a
5148,,,,S,,,,,,,,,Rockmelon,112,4b
5149,,,,,,T,,,,,,,Rockmelon,112,4b
5150,,,,,,P,,,,,,,Rockmelon,112,4b
5151,,,S,S,,,,,,,,,Rockmelon,11,5a
5152,,,,,T,T,,,,,,,Rockmelon,11,5a
5153,,,,,P,P,,,,,,,Rockmelon,11,5a
5154,,,S,S,,,,,,,,,Rockmelon,14,5b
5155,,,,,T,T,,,,,,,Rockmelon,14,5b
5156,,,,,P,P,,,,,,,Rockmelon,14,5b
5157,,,S,S,,,,,,,,,Rockmelon,16,6a
5158,,,,,T,T,,,,,,,Rockmelon,16,6a
5159,,,,,P,P,,,,,,,Rockmelon,16,6a
5160,,,S,S,,,,,,,,,Rockmelon,113,6b
5161,,,,,T,T,,,,,,,Rockmelon,113,6b
5162,,,,,P,P,,,,,,,Rockmelon,113,6b
5163,,,S,S,,,,,,,,,Rockmelon,10,7a
5164,,,,,T,T,,,,,,,Rockmelon,10,7a
5165,,,,,P,P,,,,,,,Rockmelon,10,7a
5166,,,S,S,,,,,,,,,Rockmelon,114,7b
5167,,,,,T,T,,,,,,,Rockmelon,114,7b
5168,,,,,P,P,,,,,,,Rockmelon,114,7b
5169,,S,S,,,,,,,,,,Rockmelon,13,8a
5170,,,,T,,,,,,,,,Rockmelon,13,8a
5171,,,P,P,,,,,,,,,Rockmelon,13,8a
5172,,S,S,,,,,,,,,,Rockmelon,12,8b
5173,,,,T,,,,,,,,,Rockmelon,12,8b
5174,,,P,P,,,,,,,,,Rockmelon,12,8b
5175,S,S,,,,,,,,,,,Rockmelon,115,9a
5176,,,T,T,,,,,,,,,Rockmelon,115,9a
5177,,,P,P,P,,,,,,,,Rockmelon,115,9a
5178,S,S,,,,,,,,,,,Rockmelon,116,9b
5179,,,T,T,,,,,,,,,Rockmelon,116,9b
5180,,,P,P,P,,,,,,,,Rockmelon,116,9b
5181,S,S,,,,,,,,,,,Rockmelon,15,10a
5182,,,T,T,,,,,,,,,Rockmelon,15,10a
5183,,,P,P,P,,,,,,,,Rockmelon,15,10a
5184,S,S,,,,,,,,,,,Rockmelon,100,10b
5185,,,T,T,,,,,,,,,Rockmelon,100,10b
5186,,,P,P,P,,,,,,,,Rockmelon,100,10b
5187,P,,,,,,,,,,,,Rockmelon,101,11a
5188,P,,,,,,,,,,,,Rockmelon,102,11b
5189,P,,,,,,,,,,,,Rockmelon,103,12a
5190,P,,,,,,,,,,,,Rockmelon,104,12b
5191,,,P,P,P,P,P,,,,,,Rockmelon,105,13a
5192,,,P,P,P,P,,,,,,,Rockmelon,106,13b
5212,S,,,,,,,,,,,,Rosella,115,9a
5213,,,T,,,,,,,,,,Rosella,115,9a
5214,,,P,,,,,,,,,,Rosella,115,9a
5215,S,,,,,,,,,,,,Rosella,116,9b
5216,,,T,,,,,,,,,,Rosella,116,9b
5217,,,P,,,,,,,,,,Rosella,116,9b
5218,S,,,,,,,,,,,,Rosella,15,10a
5219,,,T,,,,,,,,,,Rosella,15,10a
5220,,,P,,,,,,,,,,Rosella,15,10a
5221,S,,,,,,,,,,,,Rosella,100,10b
5222,,,T,,,,,,,,,,Rosella,100,10b
5223,,,P,,,,,,,,,,Rosella,100,10b
5224,S,,,,,,,,,,,,Rosella,101,11a
5225,,,T,,,,,,,,,,Rosella,101,11a
5226,,,P,,,,,,,,,,Rosella,101,11a
5227,S,,,,,,,,,,,,Rosella,102,11b
5228,,,T,,,,,,,,,,Rosella,102,11b
5229,,,P,,,,,,,,,,Rosella,102,11b
5230,S,,,,,,,,,,,,Rosella,103,12a
5231,,,T,,,,,,,,,,Rosella,103,12a
5232,,,P,,,,,,,,,,Rosella,103,12a
5233,S,,,,,,,,,,,,Rosella,104,12b
5234,,,T,,,,,,,,,,Rosella,104,12b
5235,,,P,,,,,,,,,,Rosella,104,12b
5236,S,,,,,,,,,,,,Rosella,105,13a
5237,,,T,,,,,,,,,,Rosella,105,13a
5238,,,P,,,,,,,,,,Rosella,105,13a
5239,S,,,,,,,,,,,,Rosella,106,13b
5240,,,T,,,,,,,,,,Rosella,106,13b
5241,,,P,,,,,,,,,,Rosella,106,13b
5282,,,,,S,,,,,,,,Rosemary,111,4a
5283,,,,,,T,,,,,,,Rosemary,111,4a
5284,,,,,S,,,,,,,,Rosemary,112,4b
5285,,,,,,T,,,,,,,Rosemary,112,4b
5286,,,,S,,,,,,,,,Rosemary,11,5a
5287,,,,,T,,,,,,,,Rosemary,11,5a
5288,,,,S,,,,,,,,,Rosemary,14,5b
5289,,,,,T,,,,,,,,Rosemary,14,5b
5290,,,S,,,,,,,,,,Rosemary,16,6a
5291,,,,T,,,,,,,,,Rosemary,16,6a
5292,,,S,,,,,,,,,,Rosemary,113,6b
5293,,,,T,,,,,,,,,Rosemary,113,6b
5294,,,S,,,,,,,,,,Rosemary,10,7a
5295,,,,T,,,,,,,,,Rosemary,10,7a
5296,,,,P,P,,,,,,,,Rosemary,10,7a
5297,,,S,,,,,,,,,,Rosemary,114,7b
5298,,,,T,,,,,,,,,Rosemary,114,7b
5299,,,,P,P,,,,,,,,Rosemary,114,7b
5300,S,S,,,,,,,,,,,Rosemary,13,8a
5301,,,T,,,,,,,,,,Rosemary,13,8a
5302,,,P,P,,,,,,,,,Rosemary,13,8a
5303,S,S,,,,,,,,,,,Rosemary,12,8b
5304,,,T,,,,,,,,,,Rosemary,12,8b
5305,,,P,P,,,,,,,,,Rosemary,12,8b
5306,S,,,,,,,,,,,,Rosemary,115,9a
5307,,T,,,,,,,,,,,Rosemary,115,9a
5308,,P,P,,,,,,,,,,Rosemary,115,9a
5309,S,,,,,,,,,,,,Rosemary,116,9b
5310,,T,,,,,,,,,,,Rosemary,116,9b
5311,,P,P,,,,,,,P,,,Rosemary,116,9b
5312,S,,,,,,,,,,,,Rosemary,15,10a
5313,,T,,,,,,,,,,,Rosemary,15,10a
5314,,P,P,,,,,,,P,,,Rosemary,15,10a
5315,S,,,,,,,,,,,,Rosemary,100,10b
5316,,T,,,,,,,,,,,Rosemary,100,10b
5317,,P,P,,,,,,,P,,,Rosemary,100,10b
5385,,,,,,P,,,,,,,Rutabaga,107,2a
5386,,,,,,P,,,,,,,Rutabaga,108,2b
5387,,,,,,P,P,,,,,,Rutabaga,109,3a
5388,,,,,,P,P,,,,,,Rutabaga,110,3b
5389,,,,,,P,P,,,,,,Rutabaga,111,4a
5390,,,,,,P,P,,,,,,Rutabaga,112,4b
5391,,,,,,,P,P,,,,,Rutabaga,11,5a
5392,,,,,,,P,P,,,,,Rutabaga,14,5b
5393,,,,,,,P,P,,,,,Rutabaga,16,6a
5394,,,,,,,,P,P,,,,Rutabaga,113,6b
5395,,,,,,,,P,P,P,,,Rutabaga,10,7a
5396,,,,,,,,P,P,P,,,Rutabaga,114,7b
5397,,,,,,,,,,P,P,P,Rutabaga,13,8a
5398,,,,,,,,,,P,P,P,Rutabaga,12,8b
5399,,,,,,,,,,,P,P,Rutabaga,115,9a
5400,,,,,,,,,,,P,P,Rutabaga,116,9b
5401,P,,,,,,,,,,,P,Rutabaga,15,10a
5402,P,,,,,,,,,,,P,Rutabaga,100,10b
5439,,,,P,,,,,,,,,Sage,11,5a
5440,,,,P,,,,,,,,,Sage,14,5b
5441,,,P,P,,,,,,,,,Sage,16,6a
5442,,,P,P,,,,,,,,,Sage,113,6b
5443,,,P,P,P,,,,,,,,Sage,10,7a
5444,,,P,P,P,,,,,,,,Sage,114,7b
5445,,,,P,P,,,,,,,,Sage,13,8a
5446,,,,P,P,,,,,,,,Sage,12,8b
5447,,P,P,P,,,,,,,,,Sage,115,9a
5448,,P,P,P,,,,,,,,,Sage,116,9b
5449,,,,,,,,,,P,,,Sage,15,10a
5450,,,,,,,,,,P,,,Sage,100,10b
5475,,,,,P,,,,,,,,Salsify,110,3b
5476,,,,,P,,,,,,,,Salsify,111,4a
5477,,,,,P,,,,,,,,Salsify,112,4b
5478,,,,P,P,,,,,,,,Salsify,11,5a
5479,,,,P,P,,,,,,,,Salsify,14,5b
5480,,,P,P,,,,,,,,,Salsify,16,6a
5481,,,P,P,,,,,,,,,Salsify,113,6b
5482,,,P,P,,,,,,,,,Salsify,10,7a
5483,,,P,P,,,,,,,,,Salsify,114,7b
5484,,,,,,,,,,P,P,,Salsify,13,8a
5485,,,,,,,,,,P,P,,Salsify,12,8b
5486,,,,,,,,P,P,,,,Salsify,115,9a
5487,,,,,,,,P,P,,,,Salsify,116,9b
5488,,,,,,,,,,,P,P,Salsify,15,10a
5489,,,,,,,,,,,P,P,Salsify,100,10b
5521,,,,,P,P,P,,,,,,Savory - summer savory,107,2a
5522,,,,,P,P,P,,,,,,Savory - summer savory,108,2b
5523,,,,,P,P,P,,,,,,Savory - summer savory,109,3a
5524,,,,,P,P,P,,,,,,Savory - summer savory,110,3b
5525,,,,,P,P,P,,,,,,Savory - summer savory,111,4a
5526,,,,,P,P,P,,,,,,Savory - summer savory,112,4b
5527,,,,P,P,P,,,,,,,Savory - summer savory,11,5a
5528,,,,P,P,P,,,,,,,Savory - summer savory,14,5b
5529,,,,P,P,P,,,,,,,Savory - summer savory,16,6a
5530,,,,P,P,P,,,,,,,Savory - summer savory,113,6b
5531,,,,P,P,P,,,,,,,Savory - summer savory,10,7a
5532,,,,P,P,P,,,,,,,Savory - summer savory,114,7b
5533,,,P,P,P,,,,,,,,Savory - summer savory,13,8a
5534,,,P,P,P,,,,,,,,Savory - summer savory,12,8b
5535,,S,,,,,,,,,,,Savory - summer savory,115,9a
5536,,,T,T,,,,,,,,,Savory - summer savory,115,9a
5537,,,P,P,,,,,,,,,Savory - summer savory,115,9a
5538,,S,,,,,,,,,,,Savory - summer savory,116,9b
5539,,,T,T,,,,,,,,,Savory - summer savory,116,9b
5540,,,P,P,,,,,,,,,Savory - summer savory,116,9b
5541,,S,,,,,,,,,,,Savory - summer savory,15,10a
5542,,,T,,,,,,,,,,Savory - summer savory,15,10a
5543,,,P,,,,,,,,,,Savory - summer savory,15,10a
5544,,S,,,,,,,,,,,Savory - summer savory,100,10b
5545,,,P,,,,,,,,,,Savory - summer savory,100,10b
5546,P,P,,,,,,,,,,,Savory - summer savory,101,11a
5547,P,P,,,,,,,,,,,Savory - summer savory,102,11b
5548,P,,,,,,,,,,,P,Savory - summer savory,103,12a
5549,P,,,,,,,,,,,P,Savory - summer savory,104,12b
5550,P,,,,,,,,,,,,Savory - summer savory,105,13a
5551,P,,,,,,,,,,,,Savory - summer savory,106,13b
5593,,,S,S,,,,,,,,,Savory - winter savory,11,5a
5594,,,,,T,,,,,,,,Savory - winter savory,11,5a
5595,,,,,P,P,,,,,,,Savory - winter savory,11,5a
5596,,,S,S,,,,,,,,,Savory - winter savory,14,5b
5597,,,,,T,,,,,,,,Savory - winter savory,14,5b
5598,,,,,P,P,,,,,,,Savory - winter savory,14,5b
5599,,,S,S,,,,,,,,,Savory - winter savory,16,6a
5600,,,,,T,,,,,,,,Savory - winter savory,16,6a
5601,,,,,P,P,,,,,,,Savory - winter savory,16,6a
5602,,,S,S,,,,,,,,,Savory - winter savory,113,6b
5603,,,,,T,,,,,,,,Savory - winter savory,113,6b
5604,,,,,P,P,,,,,,,Savory - winter savory,113,6b
5605,,,S,S,,,,,,,,,Savory - winter savory,10,7a
5606,,,,,T,,,,,,,,Savory - winter savory,10,7a
5607,,,,,P,P,,,,,,,Savory - winter savory,10,7a
5608,,,S,S,,,,,,,,,Savory - winter savory,114,7b
5609,,,,,T,,,,,,,,Savory - winter savory,114,7b
5610,,,,,P,P,,,,,,,Savory - winter savory,114,7b
5611,,S,S,,,,,,,,,,Savory - winter savory,13,8a
5612,,,,T,,,,,,,,,Savory - winter savory,13,8a
5613,,,,P,P,,,,,,,,Savory - winter savory,13,8a
5614,,S,S,,,,,,,,,,Savory - winter savory,12,8b
5615,,,,T,,,,,,,,,Savory - winter savory,12,8b
5616,,,,P,P,,,,,,,,Savory - winter savory,12,8b
5669,,,,S,,,,,,,,,Shallots,107,2a
5670,,,,,T,T,,,,,,,Shallots,107,2a
5671,,,,,P,P,,,,,,,Shallots,107,2a
5672,,,,S,,,,,,,,,Shallots,109,3a
5673,,,,,T,T,,,,,,,Shallots,109,3a
5674,,,,,P,P,,,,,,,Shallots,109,3a
5675,,,,S,,,,,,,,,Shallots,110,3b
5676,,,,,T,T,,,,,,,Shallots,110,3b
5677,,,,,P,P,,,,,,,Shallots,110,3b
5678,,,S,S,,,,,,,,,Shallots,111,4a
5679,,,,,T,T,,,,,,,Shallots,111,4a
5680,,,,,P,P,,,,,,,Shallots,111,4a
5681,,,S,,,,,,,,,,Shallots,112,4b
5682,,,,T,T,,,,,,,,Shallots,112,4b
5683,,,,P,P,,,,,,,,Shallots,112,4b
5684,,,P,,,,,,P,,,,Shallots,11,5a
5685,,,P,,,,,,P,,,,Shallots,14,5b
5686,,,P,,,,,,P,,,,Shallots,16,6a
5687,,,P,,,,,,P,,,,Shallots,113,6b
5688,,,P,,,,,,,P,,,Shallots,10,7a
5689,,,P,,,,,,,P,,,Shallots,114,7b
5690,,,P,,,,,,,,P,,Shallots,13,8a
5691,,,P,,,,,,,,P,,Shallots,12,8b
5692,P,,,,,,,,P,P,P,P,Shallots,115,9a
5693,P,P,,,,,,,P,P,P,P,Shallots,116,9b
5694,P,P,P,,,,,,P,P,P,P,Shallots,15,10a
5695,P,P,P,,,,,,P,P,P,P,Shallots,100,10b
5736,,,S,,,,,,,,,,Silverbeet,107,2a
5737,,,,,T,,,,,,,,Silverbeet,107,2a
5738,,,,P,P,,,,,,,,Silverbeet,107,2a
5739,,,S,,,,,,,,,,Silverbeet,109,3a
5740,,,,,T,,,,,,,,Silverbeet,109,3a
5741,,,,P,P,P,,,,,,,Silverbeet,109,3a
5742,,,S,,,,,,,,,,Silverbeet,110,3b
5743,,,,,T,,,,,,,,Silverbeet,110,3b
5744,,,,P,P,P,,,,,,,Silverbeet,110,3b
5745,,,S,,,,,,,,,,Silverbeet,111,4a
5746,,,,,T,,,,,,,,Silverbeet,111,4a
5747,,,,P,P,P,,,,,,,Silverbeet,111,4a
5748,,,S,,,,,,,,,,Silverbeet,112,4b
5749,,,,,T,,,,,,,,Silverbeet,112,4b
5750,,,,P,P,P,,,,,,,Silverbeet,112,4b
5751,,S,,,,,,,,,,,Silverbeet,11,5a
5752,,,,T,,,,,,,,,Silverbeet,11,5a
5753,,,P,P,,,,,,,,,Silverbeet,11,5a
5754,,S,,,,,,,,,,,Silverbeet,14,5b
5755,,,,T,,,,,,,,,Silverbeet,14,5b
5756,,,P,P,,,,,,,,,Silverbeet,14,5b
5757,,,P,P,P,P,P,,,,,,Silverbeet,16,6a
5758,,,P,P,P,P,P,,,,,,Silverbeet,113,6b
5759,,S,,,,,,,,,,,Silverbeet,10,7a
5760,,,,T,,,,,,,,,Silverbeet,10,7a
5761,,,P,P,,,,,,,,,Silverbeet,10,7a
5762,,S,,,,,,,,,,,Silverbeet,114,7b
5763,,,,T,,,,,,,,,Silverbeet,114,7b
5764,,,P,P,,,,,,,,,Silverbeet,114,7b
5765,S,,,,,,,,,,,,Silverbeet,13,8a
5766,,,T,,,,,,,,,,Silverbeet,13,8a
5767,,P,P,,,,,P,P,,,,Silverbeet,13,8a
5768,S,,,,,,,,,,,,Silverbeet,12,8b
5769,,,T,,,,,,,,,,Silverbeet,12,8b
5770,,P,P,,,,,P,P,,,,Silverbeet,12,8b
5771,P,P,,,,,,,,,,,Silverbeet,115,9a
5772,P,P,,,,,,,,,,,Silverbeet,116,9b
5815,,,,,P,,,,,,,,Snow Peas,107,2a
5816,,,,,P,,,,,,,,Snow Peas,108,2b
5817,,,,P,P,,,,,,,,Snow Peas,109,3a
5818,,,,P,P,,,,,,,,Snow Peas,110,3b
5819,,,,P,P,,,,,,,,Snow Peas,111,4a
5820,,,,P,P,,,,,,,,Snow Peas,112,4b
5821,,,P,P,P,,,,,,,,Snow Peas,11,5a
5822,,,P,P,P,,,,,,,,Snow Peas,14,5b
5823,,,P,P,,,,,,,,,Snow Peas,16,6a
5824,,,P,P,,,,,,,,,Snow Peas,113,6b
5825,,,P,P,,,,,,,,,Snow Peas,10,7a
5826,,,P,P,,,,,,,,,Snow Peas,114,7b
5827,P,,,,,,,,P,,,,Snow Peas,13,8a
5828,P,,,,,,,,P,,,,Snow Peas,12,8b
5829,,,,,,,,,,P,P,,Snow Peas,115,9a
5830,,,,,,,,,,P,P,,Snow Peas,116,9b
5831,P,P,,,,,,,,,,,Snow Peas,15,10a
5832,P,P,,,,,,,,,,,Snow Peas,100,10b
5866,,,,P,P,,,P,,,,,Spinach,107,2a
5867,,,,P,P,,,P,,,,,Spinach,108,2b
5868,,,,P,P,P,P,,,,,,Spinach,109,3a
5869,,,,P,P,P,P,,,,,,Spinach,110,3b
5870,,,,P,P,P,,P,,,,,Spinach,111,4a
5871,,,,P,P,,,P,,,,,Spinach,112,4b
5872,,,,P,,,,P,P,,,,Spinach,11,5a
5873,,,,P,,,,P,P,,,,Spinach,14,5b
5874,,,,P,,,,P,P,,,,Spinach,16,6a
5875,,,,P,,,,P,P,,,,Spinach,113,6b
5876,P,P,P,P,,,,,P,P,,,Spinach,10,7a
5877,P,P,P,P,,,,,P,P,,,Spinach,114,7b
5878,P,P,P,,,,,,P,P,,,Spinach,13,8a
5879,,P,P,,,,,,P,P,,,Spinach,12,8b
5880,,P,,,,,,,,,P,P,Spinach,115,9a
5881,,P,,,,,,,,,P,P,Spinach,116,9b
5882,P,P,,,,,,,,P,P,,Spinach,15,10a
5883,P,P,,,,,,,,P,P,P,Spinach,100,10b
5945,,,S,,,,,,,,,,Spring onions,107,2a
5946,,,,,T,,,,,,,,Spring onions,107,2a
5947,,,,,P,,,,,,,,Spring onions,107,2a
5948,,,S,,,,,,,,,,Spring onions,108,2b
5949,,,,,T,,,,,,,,Spring onions,108,2b
5950,,,,,P,,,,,,,,Spring onions,108,2b
5951,,,S,,,,,,,,,,Spring onions,109,3a
5952,,,,,T,,,,,,,,Spring onions,109,3a
5953,,,,,P,P,,,,,,,Spring onions,109,3a
5954,,,S,,,,,,,,,,Spring onions,110,3b
5955,,,,,T,,,,,,,,Spring onions,110,3b
5956,,,,,P,P,,,,,,,Spring onions,110,3b
5957,,,P,P,,,,,,,,,Spring onions,111,4a
5958,,,P,P,,,,,,,,,Spring onions,112,4b
5959,,S,,,,,,,,,,,Spring onions,11,5a
5960,,,,P,,,,,,,,,Spring onions,11,5a
5961,,S,,,,,,,,,,,Spring onions,14,5b
5962,,,,P,,,,,,,,,Spring onions,14,5b
5963,,S,,,,,,,,,,,Spring onions,16,6a
5964,,,,T,,,,,,,,,Spring onions,16,6a
5965,,,,P,P,P,P,,,,,,Spring onions,16,6a
5966,,S,,,,,,,,,,,Spring onions,113,6b
5967,,,,T,,,,,,,,,Spring onions,113,6b
5968,,,,P,P,P,P,,,,,,Spring onions,113,6b
5969,,,S,,,,,,,,,,Spring onions,10,7a
5970,,,,,T,,,,,,,,Spring onions,10,7a
5971,,,,,P,,,,P,P,,,Spring onions,10,7a
5972,,,S,,,,,,,,,,Spring onions,114,7b
5973,,,,,T,,,,,,,,Spring onions,114,7b
5974,,,,,P,,,,P,P,,,Spring onions,114,7b
5975,,,,,,,,,,P,P,,Spring onions,13,8a
5976,,,,,,,,,,P,P,,Spring onions,12,8b
5977,,,,,,,,,,,P,P,Spring onions,115,9a
5978,,,,,,,,,,,P,P,Spring onions,116,9b
5979,P,,,,,,,,,,,P,Spring onions,15,10a
5980,P,,,,,,,,,,,P,Spring onions,100,10b
6041,,,,S,,,,,,,,,Squash,107,2a
6042,,,,,T,,,,,,,,Squash,107,2a
6043,,,,,P,P,,,,,,,Squash,107,2a
6044,,,,S,,,,,,,,,Squash,108,2b
6045,,,,,T,,,,,,,,Squash,108,2b
6046,,,,,P,P,,,,,,,Squash,108,2b
6047,,,,S,,,,,,,,,Squash,109,3a
6048,,,,,,T,,,,,,,Squash,109,3a
6049,,,,,P,P,,,,,,,Squash,109,3a
6050,,,,S,,,,,,,,,Squash,110,3b
6051,,,,,,T,,,,,,,Squash,110,3b
6052,,,,,P,P,,,,,,,Squash,110,3b
6053,,,,S,,,,,,,,,Squash,111,4a
6054,,,,,,T,,,,,,,Squash,111,4a
6055,,,,,P,P,,,,,,,Squash,111,4a
6056,,,,S,,,,,,,,,Squash,112,4b
6057,,,,,,T,,,,,,,Squash,112,4b
6058,,,,,P,P,,,,,,,Squash,112,4b
6059,,,S,,,,,,,,,,Squash,11,5a
6060,,,,T,T,,,,,,,,Squash,11,5a
6061,,,,P,P,,,,,,,,Squash,11,5a
6062,,,S,,,,,,,,,,Squash,14,5b
6063,,,,T,T,,,,,,,,Squash,14,5b
6064,,,,P,P,,,,,,,,Squash,14,5b
6065,,,S,,,,,,,,,,Squash,16,6a
6066,,,,T,T,,,,,,,,Squash,16,6a
6067,,,,P,P,,,,,,,,Squash,16,6a
6068,,,S,,,,,,,,,,Squash,113,6b
6069,,,,T,T,,,,,,,,Squash,113,6b
6070,,,,P,P,,,,,,,,Squash,113,6b
6071,,,S,,,,,,,,,,Squash,10,7a
6072,,,,,T,,,,,,,,Squash,10,7a
6073,,,,P,P,,,P,,,,,Squash,10,7a
6074,,,S,,,,,,,,,,Squash,114,7b
6075,,,,,T,,,,,,,,Squash,114,7b
6076,,,,P,P,,,P,,,,,Squash,114,7b
6077,,,S,,,,,,,,,,Squash,13,8a
6078,,,,,T,,,,,,,,Squash,13,8a
6079,,,,P,P,,,P,,,,,Squash,13,8a
6080,,,S,,,,,,,,,,Squash,12,8b
6081,,,,,T,,,,,,,,Squash,12,8b
6082,,,,P,P,,,P,,,,,Squash,12,8b
6083,,,,P,,,,P,P,,,,Squash,115,9a
6084,,,,P,,,,P,P,,,,Squash,116,9b
6085,,,P,P,,,,P,P,,,,Squash,15,10a
6086,,,P,P,,,,P,P,,,,Squash,100,10b
6125,,,S,S,,,,,,,,,Strawberries from seeds,107,2a
6126,,,,,,T,,,,,,,Strawberries from seeds,107,2a
6127,,,,,,P,,,,,,,Strawberries from seeds,107,2a
6128,,,S,S,,,,,,,,,Strawberries from seeds,108,2b
6129,,,,,,T,,,,,,,Strawberries from seeds,108,2b
6130,,S,S,,,,,,,,,,Strawberries from seeds,109,3a
6131,,,,,T,T,,,,,,,Strawberries from seeds,109,3a
6132,,,,,P,P,,,,,,,Strawberries from seeds,109,3a
6133,,S,S,,,,,,,,,,Strawberries from seeds,110,3b
6134,,,,,T,,,,,,,,Strawberries from seeds,110,3b
6135,,,,,P,P,,,,,,,Strawberries from seeds,110,3b
6136,,S,S,,,,,,,,,,Strawberries from seeds,111,4a
6137,,,,,T,,,,,,,,Strawberries from seeds,111,4a
6138,,,,,P,P,,,,,,,Strawberries from seeds,111,4a
6139,,S,S,,,,,,,,,,Strawberries from seeds,112,4b
6140,,,,,T,,,,,,,,Strawberries from seeds,112,4b
6141,,,,,P,P,,,,,,,Strawberries from seeds,112,4b
6142,,S,S,,,,,,,,,,Strawberries from seeds,11,5a
6143,,,,,T,,,,,,,,Strawberries from seeds,11,5a
6144,,,,,P,P,,,,,,,Strawberries from seeds,11,5a
6145,,S,S,,,,,,,,,,Strawberries from seeds,14,5b
6146,,,,,T,,,,,,,,Strawberries from seeds,14,5b
6147,,,,,P,P,,,,,,,Strawberries from seeds,14,5b
6148,,S,S,,,,,,,,,,Strawberries from seeds,16,6a
6149,,,,,T,,,,,,,,Strawberries from seeds,16,6a
6150,,,,,P,P,,,,,,,Strawberries from seeds,16,6a
6151,,S,S,,,,,,,,,,Strawberries from seeds,113,6b
6152,,,,,T,,,,,,,,Strawberries from seeds,113,6b
6153,,,,,P,P,,,,,,,Strawberries from seeds,113,6b
6154,,S,S,,,,,,,,,,Strawberries from seeds,10,7a
6155,,,,,T,,,,,,,,Strawberries from seeds,10,7a
6156,,,,,P,P,,,,,,,Strawberries from seeds,10,7a
6157,,S,S,,,,,,,,,,Strawberries from seeds,114,7b
6158,,,,,T,,,,,,,,Strawberries from seeds,114,7b
6159,,,,,P,P,,,,,,,Strawberries from seeds,114,7b
6160,S,S,,,,,,,,,,,Strawberries from seeds,13,8a
6161,,,,T,,,,,,,,,Strawberries from seeds,13,8a
6162,,,,P,P,,,,,,,,Strawberries from seeds,13,8a
6163,S,S,,,,,,,,,,,Strawberries from seeds,12,8b
6164,,,,T,,,,,,,,,Strawberries from seeds,12,8b
6165,,,,P,P,,,,,,,,Strawberries from seeds,12,8b
6166,S,S,,,,,,,,,,,Strawberries from seeds,115,9a
6167,,,,T,T,,,,,,,,Strawberries from seeds,115,9a
6168,S,S,,,,,,,,,,,Strawberries from seeds,116,9b
6169,,,,T,T,,,,,,,,Strawberries from seeds,116,9b
6170,S,S,,,,,,,,,,,Strawberries from seeds,15,10a
6171,,,,T,T,,,,,,,,Strawberries from seeds,15,10a
6172,S,S,,,,,,,,,,,Strawberries from seeds,100,10b
6173,,,,T,T,,,,,,,,Strawberries from seeds,100,10b
6174,S,S,,,,,,,,,,,Strawberries from seeds,101,11a
6175,,,T,,,,,,,,,,Strawberries from seeds,101,11a
6176,S,S,,,,,,,,,,,Strawberries from seeds,102,11b
6177,,,T,,,,,,,,,,Strawberries from seeds,102,11b
6178,S,,,,,,,,,,,,Strawberries from seeds,103,12a
6179,,P,,,,,,,,,,,Strawberries from seeds,103,12a
6180,S,,,,,,,,,,,,Strawberries from seeds,104,12b
6181,,P,,,,,,,,,,,Strawberries from seeds,104,12b
6182,S,,,,,,,,,,,,Strawberries from seeds,105,13a
6183,,P,,,,,,,,,,,Strawberries from seeds,105,13a
6184,S,,,,,,,,,,,,Strawberries from seeds,106,13b
6185,,P,,,,,,,,,,,Strawberries from seeds,106,13b
6217,,,,,P,P,,,,,,,Strawberry Plants,107,2a
6218,,,,,P,P,,,,,,,Strawberry Plants,108,2b
6219,,,,,P,P,,,,,,,Strawberry Plants,109,3a
6220,,,,,P,P,,,,,,,Strawberry Plants,110,3b
6221,,,,,P,P,,,,,,,Strawberry Plants,111,4a
6222,,,,,P,P,,,,,,,Strawberry Plants,112,4b
6223,,,,,P,P,,,,,,,Strawberry Plants,11,5a
6224,,,,,P,P,,,,,,,Strawberry Plants,14,5b
6225,,,,,P,P,,,,,,,Strawberry Plants,16,6a
6226,,,,,P,P,,,,,,,Strawberry Plants,113,6b
6227,,,P,P,P,P,,,,,,,Strawberry Plants,10,7a
6228,,,P,P,P,P,,,,,,,Strawberry Plants,114,7b
6229,,,,P,P,,,,P,P,,,Strawberry Plants,13,8a
6230,,,,P,P,,,,P,P,,,Strawberry Plants,12,8b
6231,,,,P,P,,,,P,P,,,Strawberry Plants,115,9a
6232,,,,P,P,,,,P,P,,,Strawberry Plants,116,9b
6233,,,,P,P,,,,P,P,,,Strawberry Plants,15,10a
6234,,,,P,P,,,,P,P,,,Strawberry Plants,100,10b
6235,,,P,,,,,,,P,P,,Strawberry Plants,101,11a
6236,,,P,,,,,,,P,P,,Strawberry Plants,102,11b
6237,,P,,,,,,,,P,P,,Strawberry Plants,103,12a
6238,,P,,,,,,,,P,P,,Strawberry Plants,104,12b
6239,,P,,,,,,,,P,P,,Strawberry Plants,105,13a
6240,,P,,,,,,,,P,P,,Strawberry Plants,106,13b
